2024-9-20 15:13:53-log: Cannot access game frame or container.
2024-9-20 15:13:56-debug: asset-db:require-engine-code (2827ms)
2024-9-20 15:13:56-log: meshopt wasm decoder initialized
2024-9-20 15:13:56-log: [box2d]:box2d wasm lib loaded.
2024-9-20 15:13:56-log: [bullet]:bullet wasm lib loaded.
2024-9-20 15:13:56-log: Cocos Creator v3.8.3
2024-9-20 15:14:00-debug: [Assets Memory track]: asset-db-plugin-register: project start:78.11MB, end 175.66MB, increase: 97.55MB
2024-9-20 15:14:00-debug: [Assets Memory track]: asset-db:worker-init: initPlugin start:77.49MB, end 175.68MB, increase: 98.19MB
2024-9-20 15:14:00-debug: [Assets Memory track]: asset-db-plugin-register: builder start:85.93MB, end 180.06MB, increase: 94.13MB
2024-9-20 15:13:56-debug: [Assets Memory track]: asset-db:worker-init: initEngine start:27.31MB, end 77.49MB, increase: 50.18MB
2024-9-20 15:13:56-debug: [Assets Memory track]: asset-db-plugin-register: programming start:78.24MB, end 85.91MB, increase: 7.67MB
2024-9-20 15:14:00-debug: run package(blank-template) handler(register) start
2024-9-20 15:14:00-debug: run package(blank-template) handler(enable) success!
2024-9-20 15:14:00-debug: run package(blank-template) handler(register) success!
2024-9-20 15:14:00-debug: run package(blank-template) handler(enable) start
2024-9-20 15:14:00-debug: run package(cocos-service) handler(register) start
2024-9-20 15:14:00-debug: run package(cocos-service) handler(register) success!
2024-9-20 15:14:00-debug: run package(cocos-service) handler(enable) success!
2024-9-20 15:14:00-debug: run package(im-plugin) handler(register) start
2024-9-20 15:14:00-debug: run package(im-plugin) handler(register) success!
2024-9-20 15:14:00-debug: run package(im-plugin) handler(disable) start
2024-9-20 15:14:00-debug: run package(im-plugin) handler(disable) success!
2024-9-20 15:14:00-debug: run package(im-plugin) handler(enable) start
2024-9-20 15:14:00-debug: run package(im-plugin) handler(enable) success!
2024-9-20 15:14:00-debug: asset-db:worker-init: initPlugin (4110ms)
2024-9-20 15:14:00-debug: run package(cocos-service) handler(disable) success!
2024-9-20 15:14:00-debug: run package(cocos-service) handler(enable) start
2024-9-20 15:14:00-debug: run package(cocos-service) handler(disable) start
2024-9-20 15:14:00-debug: [Assets Memory track]: asset-db:worker-init start:27.30MB, end 176.06MB, increase: 148.76MB
2024-9-20 15:14:00-debug: Run asset db hook programming:beforePreStart success!
2024-9-20 15:14:00-debug: Run asset db hook engine-extends:beforePreStart ...
2024-9-20 15:14:00-debug: %cImport%c: /Applications/Cocos/Creator/3.8.3/CocosCreator.app/Contents/Resources/resources/3d/engine/editor/assets/default_cubemapbackground: #aaff85; color: #000;color: #000;
2024-9-20 15:14:00-debug: %cImport%c: /Applications/Cocos/Creator/3.8.3/CocosCreator.app/Contents/Resources/resources/3d/engine/editor/assets/chunksbackground: #aaff85; color: #000;color: #000;
2024-9-20 15:14:00-debug: %cImport%c: /Applications/Cocos/Creator/3.8.3/CocosCreator.app/Contents/Resources/resources/3d/engine/editor/assets/default_file_contentbackground: #aaff85; color: #000;color: #000;
2024-9-20 15:14:00-debug: %cImport%c: /Applications/Cocos/Creator/3.8.3/CocosCreator.app/Contents/Resources/resources/3d/engine/editor/assets/default_fontsbackground: #aaff85; color: #000;color: #000;
2024-9-20 15:14:00-debug: Run asset db hook programming:beforePreStart ...
2024-9-20 15:14:00-debug: Run asset db hook engine-extends:beforePreStart success!
2024-9-20 15:14:00-debug: %cImport%c: /Applications/Cocos/Creator/3.8.3/CocosCreator.app/Contents/Resources/resources/3d/engine/editor/assets/default-terrainbackground: #aaff85; color: #000;color: #000;
2024-9-20 15:14:00-debug: %cImport%c: /Applications/Cocos/Creator/3.8.3/CocosCreator.app/Contents/Resources/resources/3d/engine/editor/assets/default_materialsbackground: #aaff85; color: #000;color: #000;
2024-9-20 15:14:00-debug: %cImport%c: /Applications/Cocos/Creator/3.8.3/CocosCreator.app/Contents/Resources/resources/3d/engine/editor/assets/default_prefabbackground: #aaff85; color: #000;color: #000;
2024-9-20 15:14:00-debug: %cImport%c: /Applications/Cocos/Creator/3.8.3/CocosCreator.app/Contents/Resources/resources/3d/engine/editor/assets/default_skyboxbackground: #aaff85; color: #000;color: #000;
2024-9-20 15:14:00-debug: %cImport%c: /Applications/Cocos/Creator/3.8.3/CocosCreator.app/Contents/Resources/resources/3d/engine/editor/assets/default_renderpipelinebackground: #aaff85; color: #000;color: #000;
2024-9-20 15:14:00-debug: %cImport%c: /Applications/Cocos/Creator/3.8.3/CocosCreator.app/Contents/Resources/resources/3d/engine/editor/assets/default_uibackground: #aaff85; color: #000;color: #000;
2024-9-20 15:14:00-debug: %cImport%c: /Applications/Cocos/Creator/3.8.3/CocosCreator.app/Contents/Resources/resources/3d/engine/editor/assets/dependenciesbackground: #aaff85; color: #000;color: #000;
2024-9-20 15:14:00-debug: %cImport%c: /Applications/Cocos/Creator/3.8.3/CocosCreator.app/Contents/Resources/resources/3d/engine/editor/assets/effectsbackground: #aaff85; color: #000;color: #000;
2024-9-20 15:14:00-debug: %cImport%c: /Applications/Cocos/Creator/3.8.3/CocosCreator.app/Contents/Resources/resources/3d/engine/editor/assets/gizmobackground: #aaff85; color: #000;color: #000;
